champion,avg_kills,avg_minions,avg_gold,avg_match,winner,popolarity
Aatrox,6.05,135.71,11428.29,1778.08,46.56,1.46
Ahri,6.7,167.5,11753.81,1852.18,52.27,12.27
Akali,8.65,140.21,11755.07,1803.85,50.19,5.71
Alistar,1.88,41.69,9035.18,1801.8,49.66,6.73
Amumu,4.31,44.95,10869.19,1849.1,50.98,4.52
Anivia,6.06,173.8,11931.87,1820.83,53.94,4.4
Annie,6.88,131.16,11245.97,1837.06,50.13,6.37
Ashe,5.81,172.04,11873.29,1843.46,47.78,10.49
Aurelion Sol,6.56,162.1,11695.9,1826.32,51.93,1.62
Azir,5.65,170.97,11410.61,1819.4,42.95,2.47
Bard,3.4,30.16,10098.88,1864.65,47.69,7.24
Blitzcrank,2.53,41.65,9545.4,1838.67,51.12,13.28
Brand,5.97,85.78,11199.68,1896.92,51.48,7.55
Braum,1.48,43.09,9106.9,1820.49,50.61,7.26
Caitlyn,5.97,185.09,12040.09,1846.51,46.63,13.18
Camille,6.24,142.16,11148.62,1778.22,47.61,3.67
Cassiopeia,6.19,171.97,11655.84,1833.09,49.03,5.39
Cho'Gath,6.11,112.98,11416.76,1864.27,52.89,8.12
Corki,7.08,182.16,12260.08,1826.8,46.66,4.77
Darius,6.89,173.98,11871.8,1863.01,51.54,7.54
Diana,8.08,123.49,12117.19,1829.82,51.52,5.92
Dr. Mundo,5.25,129.97,11450.54,1836.96,49.93,3.05
Draven,7.51,177.22,13028.29,1796.71,50.13,9.91
Ekko,7.49,156.54,11877.96,1838.76,49.76,9.46
Elise,6.17,36.67,10981.28,1813.44,49.19,5.07
Evelynn,7.37,41.87,11356.33,1817.14,48.22,3.12
Ezreal,6.88,165.13,11951.36,1856.22,46.52,10.37
Fiddlesticks,5.38,68.19,11222.86,1885.52,49.82,3.38
Fiora,6.46,174.0,11740.93,1804.54,49.56,5.97
Fizz,8.99,137.01,11669.25,1831.21,49.14,6.78
Galio,3.81,139.91,10730.82,1844.74,46.87,5.31
Gangplank,6.37,201.97,13664.99,1892.7,49.11,8.16
Garen,6.86,166.19,11862.76,1856.05,53.26,7.58
Gnar,5.17,164.53,11194.93,1818.17,49.51,7.58
Gragas,4.46,65.3,10655.98,1821.19,48.89,12.48
Graves,6.5,94.75,12244.05,1868.49,47.67,2.81
Hecarim,6.4,49.27,11460.57,1841.01,50.96,3.9
Heimerdinger,5.7,167.65,11603.28,1846.85,48.51,3.25
Illaoi,5.48,184.88,11798.37,1860.81,49.02,2.89
Irelia,7.03,175.14,11865.14,1803.89,50.8,4.43
Ivern,2.39,18.77,9687.65,1779.86,46.96,2.08
Janna,0.8,12.79,9624.18,1809.42,55.6,16.91
Jarvan IV,5.8,88.2,11442.29,1807.72,52.45,11.63
Jax,6.59,118.36,11782.7,1813.58,50.59,12.9
Jayce,6.89,174.54,11939.09,1813.6,50.78,6.22
Jhin,7.22,177.61,12217.54,1842.12,48.89,15.6
Jinx,7.12,186.81,12461.12,1821.93,51.26,15.46
Kalista,7.29,182.64,12136.57,1762.82,47.83,6.92
Karma,2.5,54.8,9799.76,1827.61,45.28,6.1
Karthus,7.61,170.5,12650.0,1891.14,51.07,1.97
Kassadin,7.76,157.58,11560.78,1783.95,49.3,5.89
Katarina,9.59,152.72,11900.67,1795.88,50.47,6.63
Kayle,4.58,148.23,11227.05,1775.75,50.57,3.9
Kayn,7.2,64.55,11754.38,1842.76,48.61,19.1
Kennen,6.2,159.9,11538.74,1852.0,48.0,3.58
Kha'Zix,7.98,42.77,11668.21,1830.1,48.76,8.35
Kindred,6.68,54.21,11549.72,1822.41,48.37,2.23
Kled,6.32,153.6,11433.12,1796.14,51.43,3.45
Kog'Maw,7.49,181.54,12494.74,1829.2,50.52,6.26
LeBlanc,7.6,135.36,11007.64,1798.03,46.86,4.36
Lee Sin,6.15,39.07,10989.34,1832.3,45.84,17.86
Leona,2.13,45.75,9574.31,1852.0,51.2,9.66
Lissandra,5.78,177.56,11734.53,1851.76,46.17,2.16
Lucian,7.15,188.58,12442.49,1834.34,47.25,16.11
Lulu,1.52,23.41,9295.26,1789.35,50.11,12.99
Lux,6.25,125.37,11238.84,1871.35,49.55,14.03
Malphite,4.5,126.4,10924.17,1867.88,49.77,4.87
Malzahar,5.95,174.64,12009.48,1842.28,52.93,7.29
Maokai,3.42,86.17,10485.57,1841.26,51.99,8.37
Master Yi,8.55,70.48,12470.87,1821.93,50.98,11.54
Miss Fortune,7.36,172.94,12321.44,1872.48,52.57,12.06
Mordekaiser,5.86,156.2,11379.95,1754.79,51.1,2.29
Morgana,3.15,52.77,10318.33,1869.23,48.05,11.53
Nami,1.61,13.83,9508.03,1828.67,51.76,9.12
Nasus,5.36,180.34,11810.78,1831.35,51.03,8.51
Nautilus,2.53,67.6,9765.33,1854.96,48.26,4.1
Nidalee,6.34,46.68,11057.8,1802.51,46.38,3.29
Nocturne,7.31,57.6,11989.47,1831.24,51.94,3.27
Nunu,3.21,48.22,10246.54,1768.4,49.52,2.53
Olaf,5.83,104.43,11274.15,1821.81,48.15,3.05
Orianna,5.95,174.91,11732.3,1814.16,50.43,12.72
Ornn,3.26,112.91,10387.56,1856.91,40.87,9.2
Pantheon,7.78,123.68,11477.33,1848.63,50.57,5.15
Poppy,4.07,107.88,10666.13,1873.47,45.51,3.66
Quinn,7.9,142.36,11911.73,1837.33,49.88,2.51
Rakan,1.55,15.88,9595.7,1793.72,50.18,13.22
Rammus,4.48,47.21,10885.4,1833.19,53.77,5.82
Rek'Sai,6.27,38.07,11029.4,1794.89,48.59,2.78
Renekton,5.52,187.0,11832.32,1815.39,50.13,7.48
Rengar,7.39,70.69,11910.57,1858.54,47.38,4.19
Riven,6.85,165.85,11805.42,1811.49,49.76,11.82
Rumble,6.05,153.23,11522.75,1845.4,48.95,3.07
Ryze,5.29,164.91,11372.92,1861.6,40.89,1.99
Sejuani,4.35,42.14,10708.05,1809.91,53.09,7.46
Shaco,6.76,60.7,11641.32,1886.48,49.6,4.99
Shen,3.76,124.02,10514.55,1837.05,48.76,6.16
Shyvana,6.21,63.7,11977.35,1809.61,53.06,4.73
Singed,4.5,178.11,11397.74,1828.82,53.15,2.78
Sion,4.24,131.26,10987.05,1866.04,49.8,4.05
Sivir,5.88,211.07,12734.13,1844.21,50.61,7.74
Skarner,4.93,47.92,11350.89,1848.15,49.09,1.11
Sona,2.52,19.1,9692.35,1808.74,54.19,10.59
Soraka,0.89,17.27,9404.7,1800.57,52.96,11.92
Swain,5.8,168.86,11665.72,1860.98,53.02,2.9
Syndra,6.72,178.44,11816.1,1830.64,46.41,7.29
Tahm Kench,2.86,63.49,9580.03,1854.54,46.17,3.29
Taliyah,6.45,161.67,11644.75,1832.44,47.03,3.87
Talon,9.19,158.26,12281.92,1856.1,50.02,6.17
Taric,1.59,45.22,9254.46,1798.22,52.71,5.02
Teemo,6.12,155.49,11970.62,1910.34,51.76,8.09
Thresh,2.07,31.27,9059.16,1825.21,47.33,25.16
Tristana,7.36,189.43,12549.89,1813.12,51.77,25.27
Trundle,4.52,122.04,10997.22,1814.51,48.11,3.79
Tryndamere,6.08,175.94,12509.95,1807.67,52.95,7.95
Twisted Fate,6.2,158.98,12143.25,1798.83,51.58,6.97
Twitch,8.35,150.15,12453.7,1833.42,52.69,17.13
Udyr,5.27,60.9,11463.14,1838.09,49.63,2.16
Urgot,6.56,159.18,11571.37,1846.57,48.35,4.58
Varus,6.74,183.93,12362.58,1847.7,50.04,5.63
Vayne,7.71,180.71,12405.87,1830.36,51.56,20.69
Veigar,7.33,149.04,11796.72,1882.06,49.44,7.61
Vel'Koz,6.51,136.33,11633.07,1871.7,50.54,6.16
Vi,6.31,45.1,11348.6,1826.93,50.47,5.85
Viktor,6.56,183.75,11955.28,1827.91,47.52,3.41
Vladimir,5.86,179.13,11459.0,1790.8,49.04,6.22
Volibear,5.85,71.45,11242.48,1860.24,49.13,2.32
Warwick,6.75,48.91,11362.78,1824.02,51.55,11.37
Wukong,7.69,113.71,11935.74,1867.92,52.19,4.23
Xayah,6.73,188.88,12350.15,1818.49,49.81,15.19
Xerath,6.96,161.34,11857.3,1854.19,52.97,3.32
Xin Zhao,6.7,63.79,11539.58,1850.27,51.74,6.33
Yasuo,7.14,182.87,12294.39,1807.15,50.03,15.32
Yorick,5.36,179.68,11848.79,1803.45,53.85,2.67
Zac,3.97,41.17,10439.23,1821.87,49.42,4.89
Zed,9.01,165.68,12202.3,1845.45,49.32,12.47
Ziggs,6.4,174.74,12161.63,1874.83,51.3,4.49
Zilean,3.09,79.15,10515.66,1877.78,49.22,2.84
Zyra,3.92,55.99,10709.66,1912.71,49.89,4.59
